rX,rY,rZ,rSpeed,bX,bY,bSpeed,sX,sY,sZ,sSpeed,dAng,bAng,bZ,bowlerEnd
8.368,-0.741603,1.97536,136.102,-3.43394,-0.206776,115.232,-10.06,0.0626568,0.792774,103.478,12.0095,8.33447,0.0001,north
8.376,-0.690902,1.92001,130.64,-2.75917,0.153016,109.09,-10.06,0.633508,0.851196,104.402,12.0293,8.52883,0.0001,north
8.4325,-0.805768,1.9713,135.583,-3.33571,-0.0671632,116.822,-10.06,0.353296,0.707059,106.043,11.8627,7.5529,0.0001,north
8.2675,-0.66618,1.94345,134.86,-4.39419,0.0576646,115.421,-10.06,0.440916,0.68346,104.837,11.3415,8.03756,0.0001,north
8.2667,-0.75166,1.9614,129.55,-1.15307,-0.176501,113.004,-10.06,0.353481,1.11326,99.7372,13.4292,9.57599,0.0001,north
-8.8057,-0.570218,1.97947,89.8917,5.28311,0.087195,71.4736,10.06,0.0535082,0.824431,65.0903,15.4856,12.8801,0.0001,south
-8.5841,-0.6581,1.94896,84.5468,6.13831,0.148537,68.0005,10.06,0.280128,0.686072,62.4416,15.7354,12.6069,0.0001,south
-8.6456,-0.581492,1.92773,89.3775,6.45259,0.0840371,76.6898,10.06,0.109535,0.65493,71.5825,15.1919,11.9258,0.0001,south
-8.6133,-0.692473,1.93562,83.5415,4.10239,-0.180025,68.9534,10.06,-0.246236,0.890831,60.9412,15.7603,13.0781,0.0001,south
-8.6031,-0.573491,1.92053,84.7496,6.17817,0.310932,72.1992,10.06,0.375449,0.558635,67.144,15.4324,10.433,0.0001,south
-8.5805,-0.663155,1.91939,85.0576,3.79981,0.109431,72.9394,10.06,0.207507,0.700633,65.2206,15.7404,10.6015,0.0001,south
8.3621,-0.724266,1.97334,130.857,-5.66757,0.310166,115.625,-10.06,0.702927,0.530346,107.75,10.8694,7.46457,0.0001,north
8.558,0.813628,1.95307,138.512,-3.89167,0.536491,117.572,-10.06,0.501188,0.673074,105.508,11.2646,7.58208,0.0001,north
8.3366,0.825305,1.88889,134.594,-1.46673,0.420493,114.672,-10.06,0.166428,1.0112,100.687,12.9625,8.94435,0.0001,north
8.1981,-0.84156,1.95437,136.508,-4.4183,0.0732575,116.366,-10.06,0.496995,0.63067,106.09,11.3007,7.56488,0.0001,north
8.4051,-0.745541,1.9421,136.84,-1.05014,-0.112217,112.006,-10.06,0.504671,1.07229,97.2907,13.3316,9.29607,0.0001,north
8.3869,-0.73969,1.95129,130.755,-1.10831,0.000637047,111.545,-10.06,0.65816,1.08627,105.666,13.3603,9.29903,0.0001,north
-8.6601,-0.586518,1.95432,82.826,5.83323,0.191109,68.4885,10.06,0.224522,0.684071,62.5027,16.4058,12.0489,0.0001,south
-8.6905,-0.606248,1.91149,88.6495,7.22097,0.257821,78.6788,10.06,0.374227,0.462735,74.6023,14.7557,10.1368,0.0001,south
-8.6251,-0.561093,1.95337,84.8539,5.61627,0.0569293,68.735,10.06,-0.0351081,0.686997,62.498,15.8231,11.8828,0.0001,south
-8.5298,-0.591936,1.92225,89.8886,4.29944,-0.0573751,77.3499,10.06,-0.194344,0.790416,69.3077,14.7359,11.099,0.0001,south
-8.7528,1.21626,1.9674,84.4939,5.13991,0.275973,70.5561,10.06,-0.283804,0.820577,63.7332,15.8339,12.7571,0.0001,south
-8.5051,1.28333,1.94513,85.05,6.30962,0.332408,70.1335,10.06,-0.0258216,0.673468,64.6164,15.8855,12.4494,0.0001,south
8.4146,-0.867134,1.95954,132.639,-1.67746,-0.245579,112.223,-10.06,0.284771,1.09517,98.9473,12.9523,9.74799,0.0001,north
8.3216,0.866874,1.9483,134.468,-2.89703,0.443954,112.954,-10.06,0.323166,1.00769,100.521,12.2539,9.84179,0.0001,north
8.3802,0.802297,1.93385,135.991,-0.91178,0.54675,112.221,-10.06,0.323229,0.978305,98.6986,13.56,8.69237,0.0001,north
8.2477,-0.778996,1.93066,138.896,-4.44545,0.143715,117.637,-10.06,0.51972,0.615513,110.1,11.2526,7.35723,0.0001,north
8.334,-0.796,1.93694,137.11,-4.17614,-0.0188586,118.276,-10.06,0.409006,0.641127,107.315,11.346,7.40361,0.0001,north
8.2625,-0.706479,1.93937,129.484,-1.11002,-0.150609,112.968,-10.06,0.386858,1.06466,98.5276,13.3874,9.24192,0.0001,north
-8.6428,1.1965,1.97687,86.6603,5.0651,0.38506,68.1208,10.06,-0.14052,0.824124,61.409,15.4631,13.0226,0.0001,south
-8.6545,1.25147,1.92396,84.6556,5.75895,0.657439,70.3217,10.06,0.272563,0.607646,63.9569,16.1133,10.8355,0.0001,south
